"","beta","nPassesPerScan","meanRate"
"66",0.09,0.5,11.5756647021912
"67",0.09,1,11.7033048860938
"68",0.09,2,11.7922323713959
"69",0.09,4,11.8142321115746
"70",0.09,8,11.7902739705534
"71",0.09,16,11.9087634954732
"72",0.09,32,11.7071258513379
"73",0.1,0,4.64056489639975
"74",0.1,0.5,11.2306087261231
"75",0.1,1,11.287198955706
"76",0.1,2,11.3158612560416
"77",0.1,4,11.3667252207324
"78",0.1,8,11.3129769369596
"79",0.1,16,11.4087022793204
"80",0.1,32,11.2831441172165
"81",0.11,0,4.20047424620454
"82",0.11,0.5,11.1732682489484
"83",0.11,1,11.2075912710589
"84",0.11,2,11.1008814042613
"85",0.11,4,11.2626983270429
"86",0.11,8,11.2109569915363
"87",0.11,16,11.2461466805519
"88",0.11,32,11.1804216870696
"89",0.12,0,3.83062633921748
"90",0.12,0.5,10.6737318819754
"91",0.12,1,10.678081118952
"92",0.12,2,10.6116581407837
"93",0.12,4,10.7125158818914
"94",0.12,8,10.6962479168474
"95",0.12,16,10.6333274494301
"96",0.12,32,10.6179215189903
"97",0.13,0,3.57233595785726
"98",0.13,0.5,10.2659565959429
"99",0.13,1,10.2322060487313
"100",0.13,2,10.140529465393
"101",0.13,4,10.2591530565119
"102",0.13,8,10.2290061308917
"103",0.13,16,10.142117755448
"104",0.13,32,10.176739097063
"105",0.14,0,3.43344193182444
"106",0.14,0.5,9.97399729876345
"107",0.14,1,9.9233198598245
"108",0.14,2,9.8157479501101
"109",0.14,4,9.93512802955603
"110",0.14,8,9.89642395581722
"111",0.14,16,9.80920813599571
"112",0.14,32,9.87429709577207
"113",0.15,0,3.29555766100417
"114",0.15,0.5,9.79785399043703
"115",0.15,1,9.75142255223169
"116",0.15,2,9.63731359493492
"117",0.15,4,9.74044080102386
"118",0.15,8,9.69850139162385
"119",0.15,16,9.63459859107321
"120",0.15,32,9.71059551511759
"121",0.16,0,3.21587442841284
"122",0.16,0.5,9.73752667096365
"123",0.16,1,9.71651412595285
"124",0.16,2,9.60522639986748
"125",0.16,4,9.6750913709154
"126",0.16,8,9.63523843831163
"127",0.16,16,9.61828912068052
"128",0.16,32,9.68563435509954
"129",0.17,0,3.17863921251639
"130",0.17,0.5,9.67798900258015
"131",0.17,1,9.72471907688359
"132",0.17,2,9.59939066332306
"133",0.17,4,9.63959644087535
"134",0.17,8,9.66825472483362
"135",0.17,16,9.67378226784967
"136",0.17,32,9.6701479095146
"137",0.18,0,3.11392376413521
"138",0.18,0.5,9.48478821793193
"139",0.18,1,9.56575882552729
"140",0.18,2,9.44943983931898
"141",0.18,4,9.42863726252761
"142",0.18,8,9.50170472121617
"143",0.18,16,9.51398755404817
"144",0.18,32,9.48966576610357
"145",0.19,0,3.03654370456333
"146",0.19,0.5,9.33812033711166
"147",0.19,1,9.43467722367557
"148",0.19,2,9.30931886177481
"149",0.19,4,9.2714024818993
"150",0.19,8,9.35951725545236
"151",0.19,16,9.38513936609074
"152",0.19,32,9.35362722596253
"153",0.2,0,2.95049351664535
"154",0.2,0.5,9.23798536011933
"155",0.2,1,9.33650211125927
"156",0.2,2,9.20827232594753
"157",0.2,4,9.16789209899047
"158",0.2,8,9.25713250141699
"159",0.2,16,9.28743070449898
"160",0.2,32,9.26203228909153
"161",0.21,0,2.875058158229
"162",0.21,0.5,9.18438328695493
"163",0.21,1,9.27123348827841
"164",0.21,2,9.14630023183713
"165",0.21,4,9.11810611380105
"166",0.21,8,9.19455045911009
"167",0.21,16,9.22086156927283
"168",0.21,32,9.21488095549053
"169",0.22,0,2.81304474350615
"170",0.22,0.5,9.17731411761847
"171",0.22,1,9.23887135473299
"172",0.22,2,9.12340257944365
"173",0.22,4,9.12204452633109
"174",0.22,8,9.17177112853163
"175",0.22,16,9.18543196041236
"176",0.22,32,9.21217322515955
"177",0.23,0,2.75805735097682
"178",0.23,0.5,9.19948324027219
"179",0.23,1,9.22567359736577
"180",0.23,2,9.11973289282044
"181",0.23,4,9.16812469010067
"182",0.23,8,9.1870393400591
"183",0.23,16,9.1755538778582
"184",0.23,32,9.24234521736294
"185",0.24,0,2.71092007419285
"186",0.24,0.5,9.13516979268084
"187",0.24,1,9.14843825548556
"188",0.24,2,9.06949830157321
"189",0.24,4,9.13796301615977
"190",0.24,8,9.1384413627722
"191",0.24,16,9.10018494010214
"192",0.24,32,9.19409645085108
"193",0.25,0,2.6645196925542
"194",0.25,0.5,9.08130022004245
"195",0.25,1,9.07592514528987
"196",0.25,2,9.00956125858949
"197",0.25,4,9.09980525507136
"198",0.25,8,9.07916862170235
"199",0.25,16,9.03522735786914
"200",0.25,32,9.15496250439844
"201",0.26,0,2.60621641145956
"202",0.26,0.5,9.04881949395153
"203",0.26,1,9.03249285365882
"204",0.26,2,8.97969088197607
"205",0.26,4,9.07765010289061
"206",0.26,8,9.04532370795464
"207",0.26,16,8.99845821281327
"208",0.26,32,9.13313649536682
"209",0.27,0,2.54911838206932
"210",0.27,0.5,9.03772761440809
"211",0.27,1,9.01814138059241
"212",0.27,2,8.97988717173294
"213",0.27,4,9.07149755961749
"214",0.27,8,9.03690662152902
"215",0.27,16,8.98987750493449
"216",0.27,32,9.12861842375622
"217",0.28,0,2.50270235062672
"218",0.28,0.5,9.04802458141211
"219",0.28,1,9.03287072609064
"220",0.28,2,9.01015012786016
"221",0.28,4,9.08134762525202
"222",0.28,8,9.0539173624255
"223",0.28,16,9.00948523423282
"224",0.28,32,9.14140828956661
"225",0.29,0,2.46733046336766
"226",0.29,0.5,9.07941366970663
"227",0.29,1,9.07668089015352
"228",0.29,2,9.06846072460752
"229",0.29,4,9.10720029979418
"230",0.29,8,9.09635593064412
"231",0.29,16,9.05728140070828
"232",0.29,32,9.17150609279802
"233",0.3,0,2.44980504505086
"234",0.3,0.5,9.11376516178564
"235",0.3,1,9.11704921878855
"236",0.3,2,9.12590777542019
"237",0.3,4,9.130880059269
"238",0.3,8,9.14598930832028
"239",0.3,16,9.10091216379811
"240",0.3,32,9.19495783098703
"241",0.31,0,2.44256565827612
"242",0.31,0.5,9.12530651970624
"243",0.31,1,9.13066878577464
"244",0.31,2,9.16463855833205
"245",0.31,4,9.13919688704743
"246",0.31,8,9.17067662467697
"247",0.31,16,9.11839300634695
"248",0.31,32,9.20611117735871
"249",0.32,0,2.44461013301487
"250",0.32,0.5,9.13491107284858
"251",0.32,1,9.14611965076008
"252",0.32,2,9.19263455443438
"253",0.32,4,9.14849696686572
"254",0.32,8,9.19115380350554
"255",0.32,16,9.13373691094735
"256",0.32,32,9.21402765681867
"257",0.33,0,2.443540471325
"258",0.33,0.5,9.14257882121263
"259",0.33,1,9.16342222466288
"260",0.33,2,9.21029113112801
"261",0.33,4,9.15878029872384
"262",0.33,8,9.20755341772735
"263",0.33,16,9.14694387759931
"264",0.33,32,9.21870726936694
"265",0.34,0,2.44574314907547
"266",0.34,0.5,9.14830976479838
"267",0.34,1,9.18257650748308
"268",0.34,2,9.21760828841296
"269",0.34,4,9.17004688262181
"270",0.34,8,9.21987546734242
"271",0.34,16,9.1580139063028
"272",0.34,32,9.22015001500346
"273",0.35,0,2.4476195981024
"274",0.35,0.5,9.15210390360587
