"","beta","nPassesPerScan","meanRate"
"128",0.16,32,1.74182108654306
"129",0.17,0,1.74869353337062
"130",0.17,0.5,1.74058944384992
"131",0.17,1,1.77436166137741
"132",0.17,2,1.74728216087839
"133",0.17,4,1.72841315141092
"134",0.17,8,1.77504911329023
"135",0.17,16,1.75212198945971
"136",0.17,32,1.74490619833221
"137",0.18,0,1.74513495123288
"138",0.18,0.5,1.7420684453498
"139",0.18,1,1.77565589455416
"140",0.18,2,1.74912819480006
"141",0.18,4,1.72929417419983
"142",0.18,8,1.77599913656485
"143",0.18,16,1.75348692995011
"144",0.18,32,1.75079057216749
"145",0.19,0,1.74107993629679
"146",0.19,0.5,1.74499995065177
"147",0.19,1,1.77337840030592
"148",0.19,2,1.75215758607555
"149",0.19,4,1.73130010579389
"150",0.19,8,1.77210321124146
"151",0.19,16,1.7550495348832
"152",0.19,32,1.75947420804891
"153",0.2,0,1.73868533897886
"154",0.2,0.5,1.74914753387609
"155",0.2,1,1.76684632810111
"156",0.2,2,1.75640108185069
"157",0.2,4,1.73476505100977
"158",0.2,8,1.76368870039418
"159",0.2,16,1.75709577897902
"160",0.2,32,1.77098321758359
"161",0.21,0,1.7386825402807
"162",0.21,0.5,1.74733998323132
"163",0.21,1,1.7560836503171
"164",0.21,2,1.76044161192776
"165",0.21,4,1.73741248398076
"166",0.21,8,1.75188714770603
"167",0.21,16,1.75776098198982
"168",0.21,32,1.78566663944345
"169",0.22,0,1.74075667389963
"170",0.22,0.5,1.74596072184209
"171",0.22,1,1.7474096063462
"172",0.22,2,1.76358594707328
"173",0.22,4,1.73847728804998
"174",0.22,8,1.74413743250367
"175",0.22,16,1.75932769091652
"176",0.22,32,1.79783876050742
"177",0.23,0,1.74470114674908
"178",0.23,0.5,1.74762264940982
"179",0.23,1,1.74398548491292
"180",0.23,2,1.76773861051609
"181",0.23,4,1.74149764041484
"182",0.23,8,1.74165946811566
"183",0.23,16,1.76232531924138
"184",0.23,32,1.80740480202625
"185",0.24,0,1.75052974298956
"186",0.24,0.5,1.75232576593451
"187",0.24,1,1.7460383453595
"188",0.24,2,1.77289960225617
"189",0.24,4,1.74647354107533
"190",0.24,8,1.74445325454201
"191",0.24,16,1.7667538669644
"192",0.24,32,1.81436476399997
"193",0.25,0,1.75566559718311
"194",0.25,0.5,1.76007007141617
"195",0.25,1,1.75356818768594
"196",0.25,2,1.77906892229353
"197",0.25,4,1.75340499003146
"198",0.25,8,1.75251879178272
"199",0.25,16,1.77261333408559
"200",0.25,32,1.81871864642856
"201",0.26,0,1.76007219762808
"202",0.26,0.5,1.77085556585478
"203",0.26,1,1.76657501189223
"204",0.26,2,1.78624657062816
"205",0.26,4,1.76229198728323
"206",0.26,8,1.7658560798378
"207",0.26,16,1.77990372060494
"208",0.26,32,1.82046644931202
"209",0.27,0,1.76314726354399
"210",0.27,0.5,1.78348507004543
"211",0.27,1,1.78422235013451
"212",0.27,2,1.79411546880587
"213",0.27,4,1.77057845619464
