"","beta","nPassesPerScan","meanRate"
"212",0.27,2,1.92948746656759
"213",0.27,4,1.93273249949666
"214",0.27,8,1.95077524962142
"215",0.27,16,1.95828315883695
"216",0.27,32,1.94150482970747
"217",0.28,0,1.8388187376033
"218",0.28,0.5,1.96890317468383
"219",0.28,1,1.93458294201562
"220",0.28,2,1.93342274392143
"221",0.28,4,1.92905892962958
"222",0.28,8,1.96414088755815
"223",0.28,16,1.95802896793805
"224",0.28,32,1.96158168105079
"225",0.29,0,1.84252600600915
"226",0.29,0.5,1.98284563657769
"227",0.29,1,1.94827475002321
"228",0.29,2,1.93894020314976
"229",0.29,4,1.93007117682623
"230",0.29,8,1.97697540137247
"231",0.29,16,1.9614197150457
"232",0.29,32,1.97843658728361
"233",0.3,0,1.84936020245307
"234",0.3,0.5,1.99653357666571
"235",0.3,1,1.96320227793147
"236",0.3,2,1.94897128756019
"237",0.3,4,1.93787396288331
"238",0.3,8,1.98913694172533
"239",0.3,16,1.96947796373176
"240",0.3,32,1.99356952630762
"241",0.31,0,1.85625475737091
"242",0.31,0.5,2.0099669949479
"243",0.31,1,1.97961765757977
"244",0.31,2,1.96351599715269
"245",0.31,4,1.9524672878008
"246",0.31,8,2.00062550861674
"247",0.31,16,1.98220371399623
"248",0.31,32,2.00698049812283
"249",0.32,0,1.86161575268478
"250",0.32,0.5,2.02314589142426
"251",0.32,1,1.99752088896809
"252",0.32,2,1.98257433192729
"253",0.32,4,1.97385115157871
"254",0.32,8,2.01144110204668
"255",0.32,16,1.99959696583912
"256",0.32,32,2.01866950272923
"257",0.33,0,1.86341969461314
"258",0.33,0.5,2.03484053806392
"259",0.33,1,2.01691197209643
"260",0.33,2,2.00669781895545
"261",0.33,4,2.00197670846341
"262",0.33,8,2.02056761807395
"263",0.33,16,2.02127903907369
"264",0.33,32,2.02911810265728
"265",0.34,0,1.86296722861055
"266",0.34,0.5,2.04179473830335
"267",0.34,1,2.03819645134
"268",0.34,2,2.03354327178173
"269",0.34,4,2.02647067530424
"270",0.34,8,2.02483420049585
"271",0.34,16,2.03679169795618
"272",0.34,32,2.03925613991221
"273",0.35,0,1.86157249906596
"274",0.35,0.5,2.05140053581603
"275",0.35,1,2.0569705849973
"276",0.35,2,2.05629908770529
"277",0.35,4,2.04752616692344
"278",0.35,8,2.03362563093596
"279",0.35,16,2.05208648682755
"280",0.35,32,2.04896233784214
"281",0.36,0,1.86369134794208
"282",0.36,0.5,2.06576785942402
"283",0.36,1,2.07501792731197
"284",0.36,2,2.07726333670979
"285",0.36,4,2.06784008409647
"286",0.36,8,2.04828512572216
"287",0.36,16,2.06919625544988
"288",0.36,32,2.06221651249671
"289",0.37,0,1.86803068123147
"290",0.37,0.5,2.08506420951956
"291",0.37,1,2.0934148843076
"292",0.37,2,2.09643601879523
"293",0.37,4,2.08741242682331
"294",0.37,8,2.06881268485447
"295",0.37,16,2.08812100382316
"296",0.37,32,2.07901866387594
"297",0.38,0,1.87458497518324
"298",0.38,0.5,2.10928958610266
"299",0.38,1,2.11216145598419
"300",0.38,2,2.11381713396161
"301",0.38,4,2.10624319510399
"302",0.38,8,2.09520830833288
"303",0.38,16,2.10886073194739
"304",0.38,32,2.09936879197983
"305",0.39,0,1.87854275896256
"306",0.39,0.5,2.13850343835269
"307",0.39,1,2.13125764234173
"308",0.39,2,2.12986586482026
"309",0.39,4,2.12421410088906
"310",0.39,8,2.12777193366484
"311",0.39,16,2.13094384183533
"312",0.39,32,2.12281274265417
