"","beta","nPassesPerScan","meanRate"
"68",0.09,2,3.41427018947384
"69",0.09,4,3.3759326279978
"70",0.09,8,3.3221590465374
"71",0.09,16,3.37536109261531
"72",0.09,32,3.32914287246702
"73",0.1,0,3.02969799785649
"74",0.1,0.5,2.99724197054407
"75",0.1,1,2.99490895615395
"76",0.1,2,3.06689530253795
"77",0.1,4,3.03100147498955
"78",0.1,8,2.98173382267727
"79",0.1,16,3.03540900957144
"80",0.1,32,3.00245643203074
"81",0.11,0,2.77634153776641
"82",0.11,0.5,2.83770815865916
"83",0.11,1,2.81905180846702
"84",0.11,2,2.87280383599294
"85",0.11,4,2.84330064379102
"86",0.11,8,2.81478199992736
"87",0.11,16,2.86811897475472
"88",0.11,32,2.85248452142527
"89",0.12,0,2.50387918268452
"90",0.12,0.5,2.69434100298692
"91",0.12,1,2.69790668807477
"92",0.12,2,2.7305995268049
"93",0.12,4,2.71952508218025
"94",0.12,8,2.69222123113539
"95",0.12,16,2.72214411916414
"96",0.12,32,2.67984674150076
"97",0.13,0,2.2147591486218
"98",0.13,0.5,2.4874186199601
"99",0.13,1,2.47122292914095
"100",0.13,2,2.51392153592911
"101",0.13,4,2.49429759487523
"102",0.13,8,2.48860893944416
"103",0.13,16,2.49854629869203
"104",0.13,32,2.469523294201
"105",0.14,0,1.96225238424256
"106",0.14,0.5,2.28889252397377
"107",0.14,1,2.26506915805637
"108",0.14,2,2.30365513035158
"109",0.14,4,2.28808646708623
"110",0.14,8,2.28972964007404
"111",0.14,16,2.29532782870065
"112",0.14,32,2.26932741480666
"113",0.15,0,1.75619201221301
"114",0.15,0.5,2.10994751659895
"115",0.15,1,2.08004463966752
"116",0.15,2,2.11506365704441
"117",0.15,4,2.1028825399943
"118",0.15,8,2.11034881741795
"119",0.15,16,2.11248870919001
"120",0.15,32,2.08910390443743
"121",0.16,0,1.62870554109815
"122",0.16,0.5,1.95058359783567
"123",0.16,1,1.91614937397439
"124",0.16,2,1.94814711600761
"125",0.16,4,1.93868581359943
"126",0.16,8,1.9504664714759
"127",0.16,16,1.9500289401601
"128",0.16,32,1.9288527630933
"129",0.17,0,1.52481733813778
"130",0.17,0.5,1.81080076768391
"131",0.17,1,1.77338336097699
"132",0.17,2,1.80290550724118
"133",0.17,4,1.79549628790163
"134",0.17,8,1.8100826022479
"135",0.17,16,1.80794852161093
"136",0.17,32,1.78857399077427
"137",0.18,0,1.41254913208386
"138",0.18,0.5,1.69059902614366
"139",0.18,1,1.65174660067532
"140",0.18,2,1.67933883074513
"141",0.18,4,1.67331396290089
"142",0.18,8,1.68919720973394
"143",0.18,16,1.68624745354251
"144",0.18,32,1.66826758748034
"145",0.19,0,1.31018715405872
"146",0.19,0.5,1.58997837321495
"147",0.19,1,1.55123909306938
"148",0.19,2,1.57744708651945
"149",0.19,4,1.57213883859721
"150",0.19,8,1.58781029393403
"151",0.19,16,1.58492573595481
"152",0.19,32,1.56793355321152
"153",0.2,0,1.21890892183811
"154",0.2,0.5,1.50893880889776
"155",0.2,1,1.47186083815917
"156",0.2,2,1.49723027456413
"157",0.2,4,1.4919709149906
"158",0.2,8,1.50592185484815
"159",0.2,16,1.50398336884786
"160",0.2,32,1.4875718879678
"161",0.21,0,1.13871443542204
"162",0.21,0.5,1.44748033319209
"163",0.21,1,1.41361183594467
"164",0.21,2,1.43868839487918
"165",0.21,4,1.43281019208105
"166",0.21,8,1.44353189247631
"167",0.21,16,1.44342035222164
"168",0.21,32,1.42718259174918
"169",0.22,0,1.07304024576985
"170",0.22,0.5,1.40560294609794
"171",0.22,1,1.37649208642591
"172",0.22,2,1.40182144746461
"173",0.22,4,1.39184098758554
"174",0.22,8,1.40064040681852
"175",0.22,16,1.40323668607616
"176",0.22,32,1.38676566455567
"177",0.23,0,1.01579656752933
"178",0.23,0.5,1.3822719445432
"179",0.23,1,1.35680124562889
"180",0.23,2,1.38161783006931
"181",0.23,4,1.36598110704537
"182",0.23,8,1.37724739787477
"183",0.23,16,1.38311645948755
"184",0.23,32,1.36632110638726
"185",0.24,0,0.957846444912456
"186",0.24,0.5,1.35656986615817
"187",0.24,1,1.33838267411174
"188",0.24,2,1.35150542402863
"189",0.24,4,1.34421792887623
"190",0.24,8,1.34961157957182
"191",0.24,16,1.35507888936941
"192",0.24,32,1.34322116841286
"193",0.25,0,0.908408171167866
"194",0.25,0.5,1.31180083437602
"195",0.25,1,1.29416818785891
"196",0.25,2,1.30438859157503
"197",0.25,4,1.29401199253023
"198",0.25,8,1.30986857582657
"199",0.25,16,1.30659340557244
"200",0.25,32,1.29796749525295
"201",0.26,0,0.865307124484303
"202",0.26,0.5,1.25856264404682
"203",0.26,1,1.24303451255226
"204",0.26,2,1.25438299335605
"205",0.26,4,1.2408119019174
"206",0.26,8,1.25945114780176
"207",0.26,16,1.25372677072963
"208",0.26,32,1.25092391312407
"209",0.27,0,0.828543304861764
"210",0.27,0.5,1.20737353063394
"211",0.27,1,1.19408343503766
"212",0.27,2,1.20488091666094
"213",0.27,4,1.18999706673246
"214",0.27,8,1.20905973258239
"215",0.27,16,1.20208389244689
"216",0.27,32,1.20067643059992
"217",0.28,0,0.798116712300253
"218",0.28,0.5,1.15851383725229
"219",0.28,1,1.14731495531508
"220",0.28,2,1.15756709075982
