"","beta","nPassesPerScan","meanRate"
"119",0.15,16,4.20093568949256
"120",0.15,32,4.19163056050927
"121",0.16,0,3.90430815651083
"122",0.16,0.5,4.18599486311315
"123",0.16,1,4.19875499828325
"124",0.16,2,4.2189027502312
"125",0.16,4,4.22436665014781
"126",0.16,8,4.21185435285178
"127",0.16,16,4.24927089416236
"128",0.16,32,4.23638053614798
"129",0.17,0,3.93965848806355
"130",0.17,0.5,4.24185654111801
"131",0.17,1,4.2738760261593
"132",0.17,2,4.2480250334497
"133",0.17,4,4.24849347469269
"134",0.17,8,4.256246179918
"135",0.17,16,4.29063460599922
"136",0.17,32,4.26312253943872
"137",0.18,0,3.97029995299285
"138",0.18,0.5,4.30581148237965
"139",0.18,1,4.34228440879281
"140",0.18,2,4.30624182997707
"141",0.18,4,4.30034864658123
"142",0.18,8,4.31171159626547
"143",0.18,16,4.34460224328448
"144",0.18,32,4.31220586819096
"145",0.19,0,3.98420996988387
"146",0.19,0.5,4.38158970053694
"147",0.19,1,4.40781395482498
"148",0.19,2,4.39739644015324
"149",0.19,4,4.38813842780053
"150",0.19,8,4.38112726064073
"151",0.19,16,4.40562226341828
"152",0.19,32,4.38880478857031
"153",0.2,0,3.98779804821064
"154",0.2,0.5,4.45592887465744
"155",0.2,1,4.46602655421578
"156",0.2,2,4.50854649561154
"157",0.2,4,4.49348073958178
"158",0.2,8,4.43906302180126
"159",0.2,16,4.45266686087269
"160",0.2,32,4.47810228774232
"161",0.21,0,4.00053991821569
"162",0.21,0.5,4.53032590771218
"163",0.21,1,4.52274388851365
"164",0.21,2,4.60384942243118
"165",0.21,4,4.58865964024425
"166",0.21,8,4.50051838624738
"167",0.21,16,4.50054343932411
"168",0.21,32,4.55981409099946
"169",0.22,0,4.01327629951807
"170",0.22,0.5,4.63455409941459
"171",0.22,1,4.6087092718957
"172",0.22,2,4.69473228054522
"173",0.22,4,4.67972549273074
"174",0.22,8,4.60423405994737
"175",0.22,16,4.58760128649919
"176",0.22,32,4.65435783555414
"177",0.23,0,4.03098201124838
"178",0.23,0.5,4.7599712335887
"179",0.23,1,4.72031366345449
"180",0.23,2,4.78008206046488
"181",0.23,4,4.76448344929387
"182",0.23,8,4.74922044863448
"183",0.23,16,4.70933287192664
"184",0.23,32,4.75930989249515
"185",0.24,0,4.05356419336363
"186",0.24,0.5,4.88133638749654
"187",0.24,1,4.81182765127837
"188",0.24,2,4.84773439247194
"189",0.24,4,4.81641318141746
"190",0.24,8,4.8839484121278
"191",0.24,16,4.81327608287655
"192",0.24,32,4.8426986632296
"193",0.25,0,4.07725573721404
"194",0.25,0.5,5.01855102192065
"195",0.25,1,4.9371806592618
"196",0.25,2,4.95367874811921
"197",0.25,4,4.92233896509112
"198",0.25,8,5.0153064925391
"199",0.25,16,4.93777951382125
"200",0.25,32,4.96033938525467
"201",0.26,0,4.09011793935268
"202",0.26,0.5,5.16996080859318
"203",0.26,1,5.10311737023039
"204",0.26,2,5.1017121756503
"205",0.26,4,5.09388310015363
"206",0.26,8,5.14495915224376
"207",0.26,16,5.09604419554332
"208",0.26,32,5.12437267423871
"209",0.27,0,4.0879281207538
"210",0.27,0.5,5.32980613850965
