"","beta","nPassesPerScan","meanRate"
"58",0.08,0.5,1.02659265933897
"59",0.08,1,1.01014432623032
"60",0.08,2,1.01504147767714
"61",0.08,4,1.02774595279541
"62",0.08,8,1.01432797983361
"63",0.08,16,1.0043052500128
"64",0.08,32,1.01476935714363
"65",0.09,0,0.980453038360223
"66",0.09,0.5,1.01735892629755
"67",0.09,1,0.976796204274964
"68",0.09,2,1.00663718561983
"69",0.09,4,1.00993427592258
"70",0.09,8,1.0095966606562
"71",0.09,16,0.969617916938162
"72",0.09,32,1.00422861470353
"73",0.1,0,0.959209478979471
"74",0.1,0.5,0.992867078075681
"75",0.1,1,0.958126322246128
"76",0.1,2,0.977956809853796
"77",0.1,4,0.98929897869065
"78",0.1,8,0.979285000522636
"79",0.1,16,0.964252576710334
"80",0.1,32,0.993781809350213
"81",0.11,0,0.939516039986033
"82",0.11,0.5,0.973993705973295
"83",0.11,1,0.945907768034109
"84",0.11,2,0.956982943894658
"85",0.11,4,0.970041610048821
"86",0.11,8,0.959370083173284
"87",0.11,16,0.974053573310115
"88",0.11,32,0.989396271987653
"89",0.12,0,0.924323720728894
"90",0.12,0.5,0.941334323390567
"91",0.12,1,0.932700281664722
"92",0.12,2,0.941937517199475
"93",0.12,4,0.945317052720666
"94",0.12,8,0.940305026213601
"95",0.12,16,0.948131557642885
"96",0.12,32,0.949082325785381
"97",0.13,0,0.908994902668926
"98",0.13,0.5,0.906600594742038
"99",0.13,1,0.916691955908794
"100",0.13,2,0.910272058177973
"101",0.13,4,0.923765378007394
"102",0.13,8,0.922767507799466
"103",0.13,16,0.91173911322748
"104",0.13,32,0.908748553812453
"105",0.14,0,0.88678132928375
"106",0.14,0.5,0.890470239339822
"107",0.14,1,0.897534404831666
"108",0.14,2,0.88308847806365
"109",0.14,4,0.898353362576918
"110",0.14,8,0.906881613885176
"111",0.14,16,0.898913675623207
"112",0.14,32,0.891181435567097
"113",0.15,0,0.864746017392043
"114",0.15,0.5,0.882285334295192
"115",0.15,1,0.874008572437474
"116",0.15,2,0.886379946057627
"117",0.15,4,0.863103935327476
"118",0.15,8,0.878299145380361
"119",0.15,16,0.894124810468774
"120",0.15,32,0.880151376122785
"121",0.16,0,0.851093604112661
"122",0.16,0.5,0.859564750121387
"123",0.16,1,0.857546143163656
"124",0.16,2,0.886254128076269
"125",0.16,4,0.83945434903608
"126",0.16,8,0.843137192403671
"127",0.16,16,0.8752751262723
"128",0.16,32,0.857913276741092
"129",0.17,0,0.841188198944002
"130",0.17,0.5,0.827161512706624
"131",0.17,1,0.848205319507974
"132",0.17,2,0.857927945562574
"133",0.17,4,0.838870317126319
"134",0.17,8,0.828209127794587
"135",0.17,16,0.844386004463363
"136",0.17,32,0.835718297322076
"137",0.18,0,0.828175530380216
"138",0.18,0.5,0.802362225707858
"139",0.18,1,0.83197228981096
"140",0.18,2,0.824619660269388
"141",0.18,4,0.839679436305182
"142",0.18,8,0.822346422634158
"143",0.18,16,0.818336595810902
"144",0.18,32,0.818752373426756
"145",0.19,0,0.80512165731012
"146",0.19,0.5,0.79093424247255
"147",0.19,1,0.797026852664888
"148",0.19,2,0.797666192413143
"149",0.19,4,0.817152248391976
"150",0.19,8,0.802910782149704
"151",0.19,16,0.800376103195749
"152",0.19,32,0.800684396248486
"153",0.2,0,0.7774564241095
"154",0.2,0.5,0.784218205102179
"155",0.2,1,0.760753247039698
"156",0.2,2,0.781166201889115
"157",0.2,4,0.789371863282172
"158",0.2,8,0.775572165424164
"159",0.2,16,0.783567808926824
"160",0.2,32,0.781693494833481
"161",0.21,0,0.753487195743941
"162",0.21,0.5,0.77283382735135
"163",0.21,1,0.741308592420114
"164",0.21,2,0.764993266801328
"165",0.21,4,0.770252478404639
"166",0.21,8,0.760676789787113
"167",0.21,16,0.765700438340141
"168",0.21,32,0.753563540027369
"169",0.22,0,0.737281316146789
"170",0.22,0.5,0.747191220009761
"171",0.22,1,0.736647118298363
"172",0.22,2,0.744076746077883
"173",0.22,4,0.746112680602438
"174",0.22,8,0.751221968459871
"175",0.22,16,0.7429576584512
"176",0.22,32,0.722175169757327
