isAdapt,round,chain,value
true,5,19,0.1365273982491448
true,5,20,0.09712701955916535
true,5,21,0.07504663878766715
true,5,22,0.0500922382965134
true,5,23,0.028791396289536326
true,5,24,0.018553695731562153
true,5,25,0.010929658836013932
true,5,26,0.005403512582519377
true,5,27,0.002088316207875457
true,5,28,9.587962618536076E-4
true,6,0,1.0
true,6,1,0.9267828690149178
true,6,2,0.8700030493766524
true,6,3,0.8133155792415071
true,6,4,0.7618513536206779
true,6,5,0.7226075965372926
true,6,6,0.6759789969292638
true,6,7,0.63836062943666
true,6,8,0.596070528857654
true,6,9,0.5514849202018426
true,6,10,0.5057373708952084
true,6,11,0.4665428888095584
true,6,12,0.4218285167870608
true,6,13,0.3733631141490189
true,6,14,0.3298485788504216
true,6,15,0.27909571282770623
true,6,16,0.23841684742506675
true,6,17,0.19995144726077277
true,6,18,0.15954670520763517
true,6,19,0.12043537612260126
true,6,20,0.08842589563473403
true,6,21,0.06568574371758117
true,6,22,0.045154685498161186
true,6,23,0.026259759906400764
true,6,24,0.014195384853497375
true,6,25,0.0073668366543212516
true,6,26,0.003627565846894607
true,6,27,0.0012445076936966578
true,6,28,5.099075775088165E-4
true,7,0,1.0
true,7,1,0.9442589277685914
true,7,2,0.8950383343702141
true,7,3,0.8430383195553313
true,7,4,0.7847250122991797
true,7,5,0.7377472214861903
true,7,6,0.6931140071046159
true,7,7,0.647093009181686
true,7,8,0.604690728300287
true,7,9,0.5642128965714672
true,7,10,0.5212464616399916
true,7,11,0.47479165507201615
true,7,12,0.43220280805522876
true,7,13,0.39249329341645345
true,7,14,0.35343026720056725
true,7,15,0.31338152501636113
true,7,16,0.2721537159875575
true,7,17,0.2306768997084185
true,7,18,0.18432118168679953
true,7,19,0.1400325308389282
true,7,20,0.09905024309338346
true,7,21,0.06904200430942918
true,7,22,0.04575190169605264
true,7,23,0.027932485833159538
true,7,24,0.016392059852033507
true,7,25,0.009518757153234327
true,7,26,0.004200433081709647
true,7,27,0.0015062277409446762
true,7,28,4.444714857773117E-4
true,8,0,1.0
true,8,1,0.9456095923904694
true,8,2,0.8923018632381766
true,8,3,0.8402641882565096
true,8,4,0.7899345344339197
true,8,5,0.7382721033736168
true,8,6,0.6916913493965365
true,8,7,0.641965260532918
true,8,8,0.5971359568635758
true,8,9,0.551537593819336
true,8,10,0.5093931135864591
true,8,11,0.46594046446106235
true,8,12,0.4281485424317305
true,8,13,0.38603862772351066
true,8,14,0.3440232988629083
true,8,15,0.3021066170879722
true,8,16,0.26326455122973386
true,8,17,0.22107793499847594
true,8,18,0.17576289160291172
true,8,19,0.13569368653014022
true,8,20,0.10151865492907138
true,8,21,0.06819043196074837
true,8,22,0.04413999340210372
true,8,23,0.028847014825895544
true,8,24,0.014482159427971451
true,8,25,0.005888728907428547
true,8,26,0.0026199309316467046
true,8,27,9.517250633584686E-4
true,8,28,3.0985087180870186E-4
true,9,0,1.0
true,9,1,0.94330686982281
true,9,2,0.8910983618356975
true,9,3,0.8384135446232724
true,9,4,0.7878973178915213
true,9,5,0.7412209653738543
true,9,6,0.693155997785697
true,9,7,0.6450107722176557
true,9,8,0.6001516404413709
true,9,9,0.5565228971030166
true,9,10,0.5156302009558377
true,9,11,0.47169389191446687
true,9,12,0.4323154852128396
true,9,13,0.39140868356741526
true,9,14,0.348313136577171
true,9,15,0.303259794741081
true,9,16,0.262079984954897
true,9,17,0.22080429160402404
true,9,18,0.1771483580115001
true,9,19,0.13565768578700307
true,9,20,0.09902311823134774
true,9,21,0.06847653884398354
true,9,22,0.04210050865166528
true,9,23,0.025137048030304653
true,9,24,0.013196306812668753
true,9,25,0.005368852727185561
true,9,26,0.0022461702104557128
true,9,27,8.866938090898272E-4
true,9,28,2.530532617650205E-4
true,10,0,1.0
true,10,1,0.9422081508930563
true,10,2,0.8890343290761437
true,10,3,0.8385505051382195
true,10,4,0.7869208174011233
true,10,5,0.7395171534746573
true,10,6,0.6917195129294628
true,10,7,0.6461310137301277
true,10,8,0.6012221347027235
true,10,9,0.5560850817159241
true,10,10,0.5144135741537667
true,10,11,0.4718072822114417
true,10,12,0.42951248750165666
true,10,13,0.38737763018702587
true,10,14,0.3462834276476377
true,10,15,0.303646467598291
true,10,16,0.2606781383431183
true,10,17,0.21918164546059465
true,10,18,0.17739046680337725
true,10,19,0.13833535797903201
true,10,20,0.10038934436337896
true,10,21,0.06815502536339033
true,10,22,0.04420016032166733
true,10,23,0.025533921032990816
true,10,24,0.013860745707459165
true,10,25,0.006058385819685663
true,10,26,0.0022240764692348773
true,10,27,7.832253841951999E-4
true,10,28,2.1518527905366438E-4
false,11,0,1.0
false,11,1,0.9434514588258147
false,11,2,0.8904819278298757
false,11,3,0.83732247300029
false,11,4,0.7853134142873371
false,11,5,0.7367295129890351
false,11,6,0.6897515549398715
false,11,7,0.6436942530650915
false,11,8,0.598592220395081
false,11,9,0.5538981754806542
false,11,10,0.5115344293438413
false,11,11,0.4695186091498115
false,11,12,0.4275751317772635
false,11,13,0.3862195655984965
false,11,14,0.3433870903703307
false,11,15,0.3008532812271382
false,11,16,0.25720694546859263
false,11,17,0.21511815672391685
false,11,18,0.1742323497207235
false,11,19,0.1346079574876402
false,11,20,0.098332881640113
false,11,21,0.06888713962132932
false,11,22,0.04472180822387613
false,11,23,0.02607547135739105
false,11,24,0.014178296784202505
false,11,25,0.006520671469392194
false,11,26,0.0026601298844855827
false,11,27,8.804937148427785E-4
false,11,28,2.065353351076688E-4
