"","beta","nChains","meanRate"
"127",0.22,20,1.87766546256035
"128",0.22,40,1.89178959377486
"129",0.22,80,1.87201385355337
"130",0.22,160,1.90838092064355
"131",0.22,320,1.90025431188744
"132",0.22,640,1.93378376756
"133",0.23,20,1.88541563391345
"134",0.23,40,1.90146515054097
"135",0.23,80,1.89028136096061
"136",0.23,160,1.90142327027587
"137",0.23,320,1.9154026204693
"138",0.23,640,1.9233275529098
"139",0.24,20,1.8942914580536
"140",0.24,40,1.91177307478983
"141",0.24,80,1.90624863034617
"142",0.24,160,1.9081978601541
"143",0.24,320,1.93058423958363
"144",0.24,640,1.93932835914312
"145",0.25,20,1.9042929349808
"146",0.25,40,1.92403061227627
"147",0.25,80,1.92077090616278
"148",0.25,160,1.93079332264806
"149",0.25,320,1.93565759271433
"150",0.25,640,1.95803893424261
"151",0.26,20,1.91542006469504
"152",0.26,40,1.93892875052972
"153",0.26,80,1.92744647853496
"154",0.26,160,1.93251593297686
"155",0.26,320,1.95594624600009
"156",0.26,640,1.96909599100891
"157",0.27,20,1.92738342814645
"158",0.27,40,1.95525098171961
"159",0.27,80,1.93754235268235
"160",0.27,160,1.95818255559842
"161",0.27,320,1.95707373944167
"162",0.27,640,1.9845561543122
"163",0.28,20,1.93572556438801
"164",0.28,40,1.96674222239867
"165",0.28,80,1.9459098295826
"166",0.28,160,1.95373983137065
"167",0.28,320,1.96756817542974
"168",0.28,640,1.98036202498065
"169",0.29,20,1.94549532806536
"170",0.29,40,1.97249391968495
"171",0.29,80,1.96605208195582
"172",0.29,160,1.96192351747922
"173",0.29,320,1.97183646016118
"174",0.29,640,2.0114448262425
"175",0.3,20,1.95705799881621
"176",0.3,40,1.97578562549543
"177",0.3,80,1.98478981794374
"178",0.3,160,1.97995238342938
"179",0.3,320,1.99237473371062
"180",0.3,640,2.00693368215354
"181",0.31,20,1.97041357664057
"182",0.31,40,1.98508437372646
"183",0.31,80,2.00081367045913
"184",0.31,160,2.0099787279798
"185",0.31,320,2.00220510210601
"186",0.31,640,2.00994192793529
"187",0.32,20,1.98556206153843
"188",0.32,40,2.00182834969162
"189",0.32,80,2.01121800632443
"190",0.32,160,2.0041163866314
"191",0.32,320,2.01841123506728
"192",0.32,640,2.04922678963268
"193",0.33,20,2.0025034535098
"194",0.33,40,2.01682842099247
"195",0.33,80,2.01929120103007
"196",0.33,160,2.02412719196767
"197",0.33,320,2.02208431402295
"198",0.33,640,2.05930610826486
"199",0.34,20,2.01519616567341
"200",0.34,40,2.03339639480439
"201",0.34,80,2.02970955440021
"202",0.34,160,2.02438265552606
"203",0.34,320,2.06232769186726
"204",0.34,640,2.07897702063795
"205",0.35,20,2.02845993669561
"206",0.35,40,2.05587977209248
"207",0.35,80,2.07401424247754
"208",0.35,160,2.04714076496665
"209",0.35,320,2.06619003793499
"210",0.35,640,2.0858659353884
"211",0.36,20,2.04455801174394
"212",0.36,40,2.08230356984942
"213",0.36,80,2.09575894453648
"214",0.36,160,2.0641483526377
"215",0.36,320,2.07906285086188
"216",0.36,640,2.10881605741394
"217",0.37,20,2.06349039081838
"218",0.37,40,2.10416464418376
"219",0.37,80,2.1036713578559
"220",0.37,160,2.09559208822389
"221",0.37,320,2.09379508525877
"222",0.37,640,2.12164716956956
